challengeID,m1intmon,m1intyr,m1lenhr,f2lenhr
1,-3,NA,-3,-3
2,-3,NA,0,0
3,-3,NA,0,0
4,-3,NA,0,0
5,-3,NA,0,0
6,-3,NA,0,0
7,-3,NA,0,0
8,-3,NA,1,1
9,-3,NA,0,0
10,-3,NA,0,0
11,-3,NA,0,0
12,-3,NA,0,0
13,-3,NA,1,1
14,-3,NA,0,0
15,-3,NA,0,0
16,-3,NA,0,0
17,-3,NA,-3,-3
18,-3,NA,0,0
19,-3,NA,0,0
20,-3,NA,-3,-3
21,-3,NA,-3,-3
22,-3,NA,0,0
23,-3,NA,1,1
24,-3,NA,-3,-3
25,-3,NA,-3,-3
26,-3,NA,0,0
27,-3,NA,0,0
28,-3,NA,0,0
29,-3,NA,-3,-3
30,-3,NA,-3,-3
31,-3,NA,0,0
32,-3,NA,0,0
33,-3,NA,0,0
34,-3,NA,1,1
35,-3,NA,0,0
36,-3,NA,-3,-3
37,-3,NA,0,0
38,-3,NA,0,0
39,-3,NA,-3,-3
40,-3,NA,0,0
41,-3,NA,0,0
42,-3,NA,0,0
43,-3,NA,0,0
44,-3,NA,0,0
45,-3,NA,0,0
46,-3,NA,0,0
47,-3,NA,0,0
48,-3,NA,1,1
49,-3,NA,0,0
50,-3,NA,-3,-3
51,-3,NA,1,1
52,-3,NA,0,0
53,-3,NA,0,0
54,-3,NA,0,0
55,-3,NA,-3,-3
56,-3,NA,0,0
57,-3,NA,0,0
58,-3,NA,-3,-3
59,-3,NA,0,0
60,-3,NA,-3,-3
61,-3,NA,0,0
62,-3,NA,0,0
63,-3,NA,0,0
64,-3,NA,0,0
65,-3,NA,0,0
66,-3,NA,0,0
67,-3,NA,0,0
68,-3,NA,1,1
69,-3,NA,-3,-3
70,-3,NA,0,0
71,-3,NA,0,0
72,-3,NA,0,0
73,-3,NA,2,2
74,-3,NA,1,1
75,-3,NA,0,0
76,-3,NA,0,0
77,-3,NA,0,0
78,-3,NA,0,0
79,-3,NA,0,0
80,-3,NA,0,0
81,-3,NA,0,0
82,-3,NA,0,0
83,-3,NA,1,1
84,-3,NA,-3,-3
85,-3,NA,0,0
86,-3,NA,0,0
87,-3,NA,0,0
88,-3,NA,0,0
89,-3,NA,0,0
90,-3,NA,0,0
91,-3,NA,0,0
92,-3,NA,0,0
93,-3,NA,-3,-3
94,-3,NA,0,0
95,-3,NA,-3,-3
96,-3,NA,0,0
97,-3,NA,1,1
98,-3,NA,0,0
99,-3,NA,0,0
100,-3,NA,0,0
101,-3,NA,0,0
102,-3,NA,0,0
103,-3,NA,0,0
104,-3,NA,-3,-3
105,-3,NA,1,1
106,-3,NA,0,0
107,-3,NA,0,0
108,-3,NA,0,0
109,-3,NA,0,0
110,-3,NA,0,0
111,-3,NA,1,1
112,-3,NA,0,0
113,-3,NA,0,0
114,-3,NA,-3,-3
115,-3,NA,0,0
116,-3,NA,-3,-3
117,-3,NA,1,1
118,-3,NA,0,0
119,-3,NA,-3,-3
120,-3,NA,-3,-3
121,-3,NA,1,1
122,-3,NA,0,0
123,-3,NA,0,0
124,-3,NA,0,0
125,-3,NA,0,0
126,-3,NA,0,0
127,-3,NA,0,0
128,-3,NA,0,0
129,-3,NA,1,1
130,-3,NA,0,0
131,-3,NA,-3,-3
132,-3,NA,1,1
133,-3,NA,0,0
134,-3,NA,0,0
135,-3,NA,0,0
136,-3,NA,0,0
137,-3,NA,-3,-3
138,-3,NA,0,0
139,-3,NA,0,0
140,-3,NA,0,0
141,-3,NA,-3,-3
142,-3,NA,0,0
143,-3,NA,0,0
144,-3,NA,1,1
145,-3,NA,0,0
146,-3,NA,0,0
147,-3,NA,-3,-3
148,-3,NA,0,0
149,-3,NA,0,0
150,-3,NA,0,0
151,-3,NA,0,0
152,-3,NA,0,0
153,-3,NA,0,0
154,-3,NA,0,0
155,-3,NA,0,0
156,-3,NA,-3,-3
157,-3,NA,0,0
158,-3,NA,1,1
159,-3,NA,0,0
160,-3,NA,0,0
161,-3,NA,0,0
162,-3,NA,0,0
163,-3,NA,-3,-3
164,-3,NA,-3,-3
165,-3,NA,0,0
166,-3,NA,0,0
167,-3,NA,-3,-3
168,-3,NA,0,0
169,-3,NA,-3,-3
170,-3,NA,-3,-3
171,-3,NA,0,0
172,-3,NA,1,1
173,-3,NA,0,0
174,-3,NA,1,1
175,-3,NA,0,0
176,-3,NA,-3,-3
177,-3,NA,0,0
178,-3,NA,0,0
179,-3,NA,0,0
180,-3,NA,0,0
181,-3,NA,0,0
182,-3,NA,0,0
183,-3,NA,0,0
184,-3,NA,-3,-3
185,-3,NA,0,0
186,-3,NA,0,0
187,-3,NA,0,0
188,-3,NA,0,0
189,-3,NA,0,0
190,-3,NA,0,0
191,-3,NA,1,1
192,-3,NA,0,0
193,-3,NA,0,0
194,-3,NA,-3,-3
195,-3,NA,-3,-3
196,-3,NA,0,0
197,-3,NA,0,0
198,-3,NA,0,0
199,-3,NA,0,0
200,-3,NA,0,0
201,-3,NA,0,0
202,-3,NA,0,0
203,-3,NA,0,0
204,-3,NA,0,0
205,-3,NA,0,0
206,-3,NA,0,0
207,-3,NA,0,0
208,-3,NA,0,0
209,-3,NA,0,0
210,-3,NA,0,0
211,-3,NA,0,0
212,-3,NA,0,0
213,-3,NA,0,0
214,-3,NA,0,0
215,-3,NA,0,0
216,-3,NA,0,0
217,-3,NA,0,0
218,-3,NA,0,0
219,-3,NA,0,0
220,-3,NA,0,0
221,-3,NA,-3,-3
222,-3,NA,0,0
223,-3,NA,0,0
224,-3,NA,0,0
225,-3,NA,0,0
226,-3,NA,0,0
227,-3,NA,0,0
228,-3,NA,1,1
229,-3,NA,0,0
230,-3,NA,-3,-3
231,-3,NA,0,0
232,-3,NA,0,0
233,-3,NA,0,0
234,-3,NA,0,0
235,-3,NA,-3,-3
236,-3,NA,0,0
237,-3,NA,0,0
238,-3,NA,0,0
239,-3,NA,-3,-3
240,-3,NA,0,0
241,-3,NA,0,0
