challengeID,gpa,grit,materialHardship,eviction,layoff,jobTraining
2,3.2777777777777777,3.107142857142857,0.10101010101010109,0,0,0
4,3.125,3.5625,0.0413223140495868,0,0,0
11,3.325,2.5277777777777777,0.04545454545454548,0,0,0
15,3.45,3.03125,0.06363636363636369,0,0,0
17,3.5,3.15625,0.0661157024793389,0,0,0
19,3.0,2.75,0.0,0,1,0
21,3.5,2.65625,0.17272727272727287,0,0,0
22,3.477272727272727,2.9444444444444446,0.1322314049586777,0,0,0
25,NA,NA,NA,1,1,1
26,3.625,3.03125,0.07070707070707077,0,0,0
29,3.6136363636363638,2.4583333333333335,0.14049586776859513,0,0,0
32,3.4,2.2083333333333335,0.23140495867768598,0,0,0
34,3.3,2.5,0.16363636363636377,0,0,0
38,NA,NA,NA,1,1,1
41,NA,NA,NA,1,1,1
48,3.4,2.65,0.06363636363636367,0,0,0
50,3.8,2.975,0.08264462809917351,0,0,0
51,3.35,3.0,0.0545454545454546,0,0,0
59,3.5,3.75,0.0,1,0,0
65,3.6875,2.7142857142857144,0.15909090909090912,0,0,0
68,2.25,2.5,0.363636363636364,0,0,0
71,3.25,3.0,0.2272727272727275,0,1,0
74,3.4444444444444446,3.15625,0.12727272727272737,0,0,1
77,3.21875,2.6666666666666665,0.02020202020202022,0,0,0
78,3.375,3.175,0.06363636363636369,0,0,1
82,3.45,2.71875,0.2545454545454545,0,0,0
86,3.53125,2.90625,0.19318181818181812,0,1,0
89,3.75,2.9166666666666665,0.036363636363636376,0,0,0
95,3.4318181818181817,2.611111111111111,0.10743801652892561,0,0,0
96,3.4722222222222223,3.2916666666666665,0.030303030303030318,0,0,0
99,NA,NA,NA,1,1,1
100,3.625,2.75,0.1545454545454547,0,0,0
105,3.35,2.8125,0.209090909090909,0,0,0
108,3.625,2.75,0.06493506493506497,0,0,1
112,3.75,2.8,0.101010101010101,0,0,0
113,2.75,3.0,0.0,0,0,0
114,3.3863636363636362,3.3,0.04132231404958681,0,0,0
115,3.5,3.4,0.008264462809917354,0,0,0
116,3.4375,2.25,0.022727272727272724,0,0,0
117,3.53125,2.4642857142857144,0.16363636363636377,0,0,0
118,3.611111111111111,2.3214285714285716,0.06363636363636369,0,0,0
121,3.5357142857142856,2.0833333333333335,0.12987012987012997,0,0,0
128,3.175,2.475,0.11570247933884303,0,0,0
130,NA,NA,NA,1,1,1
132,3.4642857142857144,2.5833333333333335,0.090909090909091,0,0,0
133,NA,NA,NA,1,1,1
134,3.35,2.4166666666666665,0.12396694214876042,0,0,0
136,3.45,2.9166666666666665,0.1181818181818183,0,0,0
139,3.4318181818181817,3.2777777777777777,0.09917355371900834,0,0,0
140,3.3333333333333335,3.46875,0.0,0,0,0
141,3.34375,3.2083333333333335,0.03636363636363639,0,0,0
142,3.65,3.25,0.11818181818181828,0,1,0
144,3.5,NA,0.0,0,0,0
147,NA,NA,NA,1,1,1
149,3.3863636363636362,3.4166666666666665,0.02479338842975208,0,0,0
151,NA,NA,NA,1,1,1
154,3.75,3.0,0.13223140495867772,0,0,0
156,3.525,2.53125,0.07272727272727278,0,0,0
158,3.475,2.7777777777777777,0.10743801652892562,0,0,0
159,3.75,2.6785714285714284,0.03409090909090912,0,0,0
160,3.275,2.75,0.04958677685950415,0,0,0
161,NA,NA,NA,1,1,1
164,3.25,3.125,0.03636363636363639,0,0,0
166,3.6818181818181817,3.111111111111111,0.09090909090909088,0,0,0
169,3.3636363636363638,2.625,0.181818181818182,0,0,0
175,3.225,2.642857142857143,0.09090909090909095,0,0,0
177,3.75,3.5,0.11363636363636372,0,0,0
179,3.625,3.142857142857143,0.040404040404040414,0,0,0
180,NA,NA,NA,1,1,1
181,3.75,3.125,0.18181818181818193,0,0,1
186,3.625,3.375,0.2272727272727275,1,1,0
191,3.35,3.2857142857142856,0.1545454545454547,0,0,0
194,3.5357142857142856,2.7916666666666665,0.14772727272727273,0,0,0
197,3.03125,2.8,0.10227272727272724,0,0,0
200,3.8181818181818183,2.1785714285714284,0.09917355371900834,0,0,0
202,3.55,2.4375,0.10000000000000006,0,0,0
206,3.45,2.611111111111111,0.15702479338842987,0,0,0
211,3.5625,2.9285714285714284,0.12121212121212133,0,0,0
212,3.3333333333333335,2.125,0.18181818181818196,0,0,0
213,3.35,2.5555555555555554,0.1181818181818183,0,0,0
214,NA,NA,NA,1,1,1
216,3.5,2.6944444444444446,0.1636363636363637,0,1,0
220,NA,NA,NA,1,1,1
226,NA,NA,NA,1,1,1
228,3.4166666666666665,2.59375,0.14141414141414155,0,0,0
