challengeID,gpa,grit,materialHardship,eviction,layoff,jobTraining
2,3.4318181818181817,3.0,0.08264462809917351,0,0,0
4,3.4318181818181817,2.9166666666666665,0.03305785123966944,0,0,0
11,3.275,2.40625,0.06363636363636367,0,0,0
15,3.5,2.75,0.07272727272727278,0,0,0
17,3.7045454545454546,2.825,0.12396694214876045,0,0,0
19,NA,NA,NA,1,1,1
21,3.475,2.625,0.1322314049586778,0,0,0
22,3.522727272727273,3.0357142857142856,0.03305785123966944,0,0,0
25,NA,NA,NA,1,1,1
26,3.525,2.8125,0.09917355371900834,0,0,0
29,3.6818181818181817,2.825,0.08264462809917353,0,0,0
32,3.5277777777777777,2.625,0.19090909090909086,0,0,0
34,3.4285714285714284,2.6875,0.142857142857143,0,0,0
38,NA,NA,NA,1,1,1
41,NA,NA,NA,1,1,1
48,3.1,2.5,0.10000000000000006,0,0,0
50,3.4545454545454546,2.925,0.140495867768595,0,0,0
51,3.5454545454545454,3.4444444444444446,0.008264462809917354,0,0,0
59,NA,NA,NA,1,1,1
65,3.5357142857142856,2.2,0.18181818181818182,0,0,0
68,NA,NA,NA,1,1,1
71,NA,NA,NA,1,1,1
74,3.55,3.225,0.09917355371900834,0,0,0
77,3.4375,2.7916666666666665,0.090909090909091,0,0,0
78,3.475,3.3214285714285716,0.0,0,0,0
82,3.5277777777777777,2.9166666666666665,0.01818181818181818,0,0,0
86,3.75,2.925,0.1272727272727273,0,0,0
89,3.8125,3.09375,0.030303030303030318,0,0,0
95,3.5454545454545454,2.71875,0.10743801652892561,0,0,0
96,3.522727272727273,3.1785714285714284,0.02479338842975209,0,0,0
99,NA,NA,NA,1,1,1
100,3.3055555555555554,2.8333333333333335,0.2323232323232324,0,0,0
105,3.4166666666666665,2.8214285714285716,0.060606060606060635,0,0,0
108,3.5833333333333335,2.4583333333333335,0.13636363636363638,0,0,0
112,3.175,2.5625,0.10000000000000006,0,0,0
113,3.9583333333333335,3.125,0.04545454545454548,0,0,0
114,3.35,2.8125,0.09090909090909097,0,0,0
115,3.5454545454545454,3.142857142857143,0.04958677685950418,0,0,0
116,3.65,3.25,0.0,0,0,0
117,3.7222222222222223,2.5,0.12727272727272726,0,0,0
118,3.6666666666666665,2.7142857142857144,0.09090909090909098,0,0,0
121,3.40625,2.8214285714285716,0.08080808080808077,0,0,0
128,3.45,3.0277777777777777,0.11818181818181828,0,0,0
130,NA,NA,NA,1,1,1
132,3.625,2.8125,0.11818181818181825,0,0,0
133,NA,NA,NA,1,1,1
134,3.522727272727273,2.9545454545454546,0.10743801652892561,0,0,0
136,3.375,3.0555555555555554,0.090909090909091,0,0,0
139,3.3863636363636362,2.85,0.024793388429752063,0,0,0
140,3.4545454545454546,3.65,0.0,0,0,1
141,3.361111111111111,2.9285714285714284,0.045454545454545484,0,0,0
142,3.3636363636363638,2.71875,0.0413223140495868,0,0,0
144,2.25,2.5,0.363636363636364,0,0,0
147,NA,NA,NA,1,1,1
149,3.25,2.861111111111111,0.09917355371900834,0,0,0
151,NA,NA,NA,1,1,1
154,3.611111111111111,2.625,0.10909090909090909,0,0,0
156,3.2222222222222223,2.4166666666666665,0.10909090909090915,0,0,0
158,3.4318181818181817,2.925,0.09917355371900825,0,0,0
159,3.5,2.75,0.038961038961038995,0,0,0
160,3.3181818181818183,2.522727272727273,0.090909090909091,0,0,0
161,NA,NA,NA,1,1,1
164,3.227272727272727,3.175,0.016528925619834725,0,0,0
166,3.45,2.7777777777777777,0.08181818181818187,0,0,0
169,3.3,3.0,0.16363636363636375,0,0,0
175,3.175,3.25,0.0,0,0,0
177,3.0833333333333335,2.375,0.3333333333333333,0,0,0
179,3.59375,2.7142857142857144,0.08181818181818187,0,0,0
180,NA,NA,NA,1,1,1
181,3.55,2.75,0.1212121212121212,0,0,0
186,3.5,3.75,0.0,1,0,0
191,3.375,3.2222222222222223,0.08181818181818187,0,0,0
194,3.3333333333333335,2.9166666666666665,0.16363636363636366,0,0,0
197,3.590909090909091,3.0,0.04132231404958681,0,0,0
200,3.25,2.7142857142857144,0.1545454545454547,0,0,0
202,3.65625,2.375,0.0303030303030303,0,0,0
206,3.5681818181818183,3.0,0.0826446280991736,0,0,0
211,3.575,2.8333333333333335,0.14049586776859505,0,0,0
212,3.0,3.25,0.0,0,0,0
213,3.3181818181818183,2.8333333333333335,0.19008264462809932,0,0,0
214,NA,NA,NA,1,1,1
216,3.611111111111111,2.9166666666666665,0.1454545454545455,0,1,0
220,NA,NA,NA,1,1,1
226,NA,NA,NA,1,1,1
228,3.55,2.46875,0.20909090909090908,0,0,0
229,3.4545454545454546,2.8863636363636362,0.03305785123966944,0,0,0
231,3.3636363636363638,3.5833333333333335,0.016528925619834725,0,0,0
239,NA,NA,NA,1,1,1
240,3.4318181818181817,3.55,0.0,0,0,1
243,2.25,2.5,0.363636363636364,0,0,0
244,NA,NA,NA,1,1,1
245,3.675,3.125,0.07272727272727278,0,0,0
246,3.575,3.3333333333333335,0.03636363636363639,0,0,0
250,3.225,2.6944444444444446,0.09090909090909097,0,0,0
252,3.5357142857142856,2.75,0.181818181818182,0,0,0
253,NA,NA,NA,1,1,1
255,3.4318181818181817,3.340909090909091,0.0,0,0,0
260,3.625,2.625,0.090909090909091,0,0,0
261,3.5833333333333335,3.0,0.11111111111111119,0,0,0
264,3.7083333333333335,3.15,0.15151515151515163,0,0,0
267,3.4318181818181817,2.909090909090909,0.07438016528925626,0,0,0
268,3.4375,3.0714285714285716,0.11363636363636374,0,0,0
269,3.590909090909091,3.611111111111111,0.02479338842975209,0,0,0
270,3.425,3.2777777777777777,0.03305785123966943,0,0,0
274,3.35,2.857142857142857,0.05454545454545458,0,0,0
276,3.375,3.107142857142857,0.045454545454545484,0,0,0
277,3.6,2.675,0.17355371900826452,0,0,0
280,NA,NA,NA,1,1,1
284,3.475,2.9722222222222223,0.05454545454545458,0,0,0
286,3.5,2.6944444444444446,0.0818181818181819,0,0,0
290,3.3863636363636362,3.35,0.0,0,0,0
293,3.55,2.6944444444444446,0.07272727272727278,0,0,0
294,3.2954545454545454,3.075,0.03305785123966944,0,0,0
296,3.5,3.1944444444444446,0.02479338842975209,0,0,0
303,3.388888888888889,3.1875,0.090909090909091,0,0,0
308,NA,NA,NA,1,1,1
312,3.1666666666666665,3.25,0.11818181818181821,0,0,0
316,NA,NA,NA,1,1,1
319,3.5,2.925,0.04958677685950416,0,0,0
320,NA,NA,NA,1,1,1
322,3.4318181818181817,2.9583333333333335,0.06611570247933882,0,0,0
327,3.4,3.15625,0.06363636363636369,0,0,0
328,3.5555555555555554,2.8333333333333335,0.20909090909090922,0,0,0
