challengeID,gpa,grit,materialHardship,eviction,layoff,jobTraining
2,3.409090909090909,2.6944444444444446,0.17355371900826452,0,0,0
4,3.35,2.9642857142857144,0.03636363636363639,0,0,0
11,3.5833333333333335,3.0,0.06363636363636369,0,0,0
15,3.25,3.05,0.06060606060606066,0,0,0
17,3.45,2.90625,0.10909090909090917,0,0,0
19,NA,NA,NA,1,1,1
21,3.6944444444444446,3.35,0.06060606060606065,0,0,0
22,3.5454545454545454,3.4722222222222223,0.04958677685950416,0,0,0
25,NA,NA,NA,1,1,1
26,3.625,3.03125,0.08181818181818186,0,0,0
29,3.5,2.65,0.1454545454545456,0,0,0
32,3.4722222222222223,2.4166666666666665,0.09090909090909097,0,0,0
34,3.5357142857142856,2.625,0.3506493506493507,0,1,0
38,NA,NA,NA,1,1,1
41,NA,NA,NA,1,1,1
48,3.1,2.625,0.09090909090909097,0,0,0
50,3.4722222222222223,2.9375,0.2727272727272729,0,0,0
51,3.6818181818181817,2.95,0.10743801652892569,0,0,0
59,NA,NA,NA,1,1,1
65,3.5277777777777777,2.625,0.11111111111111122,0,0,0
68,NA,NA,NA,1,1,1
71,2.5,2.5,0.0,0,1,0
74,3.625,3.21875,0.04132231404958681,0,0,0
77,3.4722222222222223,2.75,0.181818181818182,0,0,0
78,3.6,3.0,0.11818181818181828,0,0,0
82,3.2777777777777777,2.7916666666666665,0.054545454545454584,0,0,0
86,3.5625,2.4166666666666665,0.18181818181818182,0,0,0
89,3.4444444444444446,2.4166666666666665,0.07070707070707077,0,0,0
95,3.611111111111111,2.71875,0.15454545454545468,0,0,0
96,3.4318181818181817,3.25,0.057851239669421524,0,0,0
99,NA,NA,NA,1,1,1
100,3.522727272727273,2.625,0.09917355371900836,0,1,0
105,3.3636363636363638,3.175,0.03305785123966943,0,0,0
108,3.5277777777777777,3.2,0.08080808080808088,0,0,0
112,3.53125,2.75,0.13636363636363635,0,0,0
113,3.25,3.1666666666666665,0.13636363636363646,0,0,0
114,3.475,3.2083333333333335,0.10743801652892561,0,0,0
115,3.575,2.96875,0.1090909090909092,0,0,0
116,3.625,2.375,0.27272727272727293,1,1,0
117,3.525,2.875,0.14545454545454548,0,0,0
118,3.65,2.8125,0.12727272727272726,0,0,0
121,3.1944444444444446,3.0277777777777777,0.02727272727272729,0,0,0
128,3.45,2.8214285714285716,0.1322314049586778,0,0,0
130,NA,NA,NA,1,1,1
132,3.525,3.1944444444444446,0.036363636363636376,0,0,0
133,NA,NA,NA,1,1,1
134,3.3,2.857142857142857,0.02727272727272727,0,0,0
136,3.3055555555555554,2.361111111111111,0.12727272727272737,0,1,0
139,3.6,2.78125,0.06060606060606065,0,1,0
140,3.4318181818181817,3.09375,0.08264462809917361,0,0,0
141,3.225,2.625,0.05454545454545458,0,0,0
142,3.3636363636363638,3.0357142857142856,0.06611570247933889,0,0,0
144,NA,NA,NA,1,1,1
147,NA,NA,NA,1,1,1
149,3.45,3.3,0.03305785123966943,0,0,0
151,3.5,3.25,0.0,0,1,0
154,3.55,2.75,0.09090909090909098,0,0,0
156,3.607142857142857,2.65,0.051948051948051965,0,0,0
158,3.111111111111111,2.607142857142857,0.22222222222222243,0,0,0
159,3.5277777777777777,2.6785714285714284,0.05050505050505054,0,0,0
160,3.6666666666666665,2.84375,0.06060606060606063,0,0,0
161,NA,NA,NA,1,1,1
164,3.2954545454545454,3.175,0.016528925619834708,0,0,0
166,2.75,2.0,0.3376623376623377,0,0,0
169,3.78125,2.7857142857142856,0.0795454545454546,0,0,0
175,3.388888888888889,2.9166666666666665,0.08080808080808088,0,0,0
177,3.857142857142857,2.5416666666666665,0.1948051948051947,0,0,0
179,3.625,2.5277777777777777,0.06363636363636369,0,0,0
180,NA,NA,NA,1,1,1
181,3.5,2.861111111111111,0.12727272727272737,0,0,0
186,NA,NA,NA,1,1,1
191,3.40625,2.75,0.1414141414141414,0,0,0
194,3.4166666666666665,3.21875,0.07070707070707077,0,0,0
197,3.4545454545454546,2.861111111111111,0.13223140495867777,0,0,0
200,3.025,2.5555555555555554,0.08181818181818179,0,0,0
202,3.5555555555555554,2.6666666666666665,0.040404040404040414,0,0,0
206,3.275,2.892857142857143,0.1272727272727272,0,0,0
211,3.590909090909091,2.861111111111111,0.07438016528925624,0,0,0
212,3.3125,2.75,0.04545454545454545,0,0,0
213,3.5555555555555554,3.1666666666666665,0.08264462809917354,0,0,0
214,NA,NA,NA,1,1,1
216,3.55,2.8125,0.1636363636363637,0,1,0
220,NA,NA,NA,1,1,1
226,NA,NA,NA,1,1,1
228,3.642857142857143,2.5,0.11688311688311681,0,0,0
229,3.65,2.8333333333333335,0.15454545454545446,0,0,0
231,3.522727272727273,3.275,0.008264462809917354,0,1,0
239,NA,NA,NA,1,1,1
240,3.227272727272727,3.125,0.1074380165289257,0,0,0
243,NA,NA,NA,1,1,1
244,NA,NA,NA,1,1,1
245,3.5,3.03125,0.090909090909091,0,0,0
246,3.340909090909091,3.3181818181818183,0.008264462809917354,0,0,0
250,3.4318181818181817,2.65,0.008264462809917354,0,0,0
252,3.40625,2.5357142857142856,0.15909090909090923,0,0,0
253,NA,NA,NA,1,1,1
255,3.525,3.125,0.15151515151515163,0,0,0
260,NA,NA,NA,1,1,1
261,3.6666666666666665,3.142857142857143,0.12727272727272726,0,0,0
264,3.5,3.2,0.07575757575757583,0,1,0
267,3.75,3.111111111111111,0.23140495867768607,0,0,0
268,3.6666666666666665,3.2,0.07575757575757583,0,0,0
269,3.325,3.25,0.10000000000000009,0,0,0
270,3.5,3.0,0.040404040404040414,0,0,0
274,3.675,3.0277777777777777,0.02727272727272727,0,0,0
276,3.6666666666666665,3.0,0.09090909090909095,0,0,0
277,3.425,2.7916666666666665,0.11570247933884299,0,0,0
280,NA,NA,0.272727272727273,0,0,0
284,3.075,3.375,0.04958677685950415,0,0,0
286,3.6785714285714284,2.7916666666666665,0.15909090909090923,0,0,0
290,3.525,3.25,0.08181818181818186,0,0,0
293,3.425,2.5,0.07272727272727275,0,0,0
294,3.375,2.9,0.09090909090909097,0,0,0
296,3.425,3.275,0.14876033057851243,0,0,0
303,3.525,3.0,0.23636363636363641,0,0,0
308,NA,NA,NA,1,1,1
312,3.2,2.45,0.06363636363636366,0,0,0
316,NA,NA,NA,1,1,1
319,3.625,2.55,0.19090909090909086,0,0,1
320,NA,NA,NA,1,1,1
322,3.55,2.9444444444444446,0.02727272727272729,0,0,0
327,3.35,3.4285714285714284,0.08181818181818187,0,0,0
328,3.625,2.7857142857142856,0.07070707070707073,0,0,1
329,3.857142857142857,3.25,0.011363636363636362,0,0,0
336,NA,NA,NA,1,1,1
337,3.3,2.9375,0.09090909090909097,0,0,0
345,3.3333333333333335,2.8125,0.12727272727272737,0,1,0
349,3.7083333333333335,3.3125,0.12727272727272737,0,0,0
350,3.4583333333333335,3.4166666666666665,0.10606060606060615,0,0,0
351,NA,NA,NA,1,1,1
353,3.15,3.175,0.09090909090909098,0,0,0
354,3.475,2.59375,0.14545454545454548,0,0,0
358,3.5,3.0833333333333335,0.16363636363636375,0,1,0
360,3.4,2.75,0.06363636363636369,0,0,0
361,NA,NA,NA,1,1,1
362,3.40625,2.7916666666666665,0.11363636363636374,0,0,0
363,3.25,3.09375,0.17355371900826463,0,0,0
364,3.5277777777777777,2.65625,0.15454545454545468,0,0,1
370,3.35,2.8055555555555554,0.07272727272727278,0,0,0
371,3.5,2.5,0.0,0,0,0
374,3.272727272727273,2.840909090909091,0.09090909090909097,0,0,0
375,3.6,3.361111111111111,0.04958677685950414,0,0,0
381,3.5714285714285716,2.65,0.142857142857143,0,0,0
383,3.325,3.125,0.09090909090909098,0,0,1
384,3.5833333333333335,2.45,0.0181818181818182,0,0,0
387,NA,NA,NA,1,1,1
390,3.125,NA,0.04545454545454545,0,1,0
392,3.125,3.2083333333333335,0.07954545454545449,0,0,0
395,3.325,2.9375,0.1454545454545456,0,0,1
398,3.25,2.875,0.04545454545454545,0,0,0
400,NA,NA,NA,1,1,1
402,NA,NA,NA,1,1,1
404,3.475,2.638888888888889,0.10909090909090917,0,0,0
412,3.590909090909091,2.95,0.07438016528925626,0,0,0
414,3.2045454545454546,2.6944444444444446,0.23966942148760345,0,0,0
415,3.35,2.9375,0.13636363636363638,0,0,0
416,3.3055555555555554,3.1,0.0,0,0,0
418,3.6,2.888888888888889,0.09917355371900834,0,0,0
419,3.225,3.225,0.016528925619834708,0,0,0
420,3.40625,2.392857142857143,0.1313131313131314,0,0,0
431,3.2954545454545454,2.53125,0.10743801652892562,0,0,0
433,3.5,2.25,0.0,0,0,0
438,3.4375,2.4642857142857144,0.11363636363636373,0,0,0
444,3.65625,3.142857142857143,0.03409090909090909,0,0,0
446,NA,NA,NA,1,1,1
