challengeID,gpa,grit,materialHardship
1,2,0,0
3,2,0,0
6,2,3.5,0.090909091
7,2.5,3.25,0
8,2,0,0
9,2.25,4,0.181818182
10,3.25,3.25,0.090909091
13,2.75,4,0.181818182
14,3.25,2.75,0.272727273
16,2,3.5,0.090909091
18,2.25,3,0
20,2,3,0
23,2.5,3.25,0
24,3.25,3.5,0.090909091
28,2,0,0
30,3,4,0.090909091
35,3,3,0.181818182
36,2,0,0
40,3,3.5,0.090909091
43,3,3.25,0.272727273
45,3,4,0
46,3.5,4,0
47,3.5,3.25,0
49,2,0,0
52,3.25,4,0
53,2.75,3.75,0
54,2,0,0
55,2,3,0.363636364
56,2,0,0
57,3,3,0.181818182
58,3.25,3.75,0.090909091
60,2.75,3.5,0
61,4,3.5,0
62,3.25,3.25,0
64,3.75,3,0.090909091
66,3.5,4,0
67,2,3.75,0.272727273
69,3,2.75,0.181818182
70,3.5,2.75,0
72,3.25,2.75,0.272727273
73,2,0,0
75,2,0,0
76,2,0,0
79,2,0,0.454545455
80,2.75,3,0
81,2,4,0
83,2,0,0
84,2.75,4,0
85,2,3.5,0.454545455
87,2,3.75,0
91,2,0,0
93,2.5,3.75,0
94,2,3.25,0.181818182
97,2,0,0
102,2,0,0
104,2.5,3.5,0.181818182
107,3.25,3.5,0.181818182
109,2,0,0
110,3.25,4,0
111,3.75,3.25,0.545454545
119,1.25,3.25,0
120,2,0,0
122,2,0,0
123,2.75,3,0.181818182
124,2.5,4,0
125,2.25,2.5,0.181818182
126,2,0,0
127,2,0,0
131,3.5,3.5,0.090909091
135,2,2.5,0.181818182
137,2.25,3.25,0
143,3.5,4,0
145,2.5,4,0
148,2.75,3.5,0.181818182
152,2,0,0
153,2,0,0
155,2,0,0
162,2,0,0
163,2,0,0
165,1.5,2.75,0.454545455
167,3,2.25,0.090909091
168,2.25,4,0.090909091
170,2,0,0
171,2,0,0
172,2,0,0
173,3.25,3.25,0
174,2,3.5,0
176,2,0,0
178,2,0,0
182,2.5,3.75,0.090909091
183,2.75,3.25,0.454545455
185,3,3.5,0.454545455
187,2,0,0
188,3.25,4,0
189,2.5,3.25,0
192,1.5,2.75,0
193,2.5,4,0
195,2,0,0
196,2.75,4,0.272727273
199,3,3.75,0
203,3.25,4,0.090909091
204,2.25,4,0.090909091
205,2,2.5,0.272727273
207,2,0,0
208,4,3.5,0.090909091
209,2,0,0
215,2,0,0
217,2,0,0
218,2.25,3.75,0.272727273
219,2,0,0
221,2,3.5,0.181818182
222,2,0,0
223,2,0,0
224,2,0,0
225,2.25,3,0.181818182
227,2,2.75,0
230,2.75,3.25,0
233,2,0,0
234,3.25,3.25,0
235,2.5,3.75,0
236,2.75,4,0.090909091
237,2.5,4,0
238,3.5,3,0.363636364
241,3.5,3.25,0.181818182
242,3,3.5,0
247,2,2,0
248,2.25,3.5,0.272727273
251,3,3.5,0
254,2.5,2.75,0.272727273
256,2,0,0
257,1.75,3.75,0.272727273
258,2,0,0
259,2,0,0
262,3.75,3.5,0.181818182
263,3,4,0.181818182
265,2,0,0
266,2,0,0
271,3.5,4,0.181818182
272,2,0,0
273,2,0,0
279,2,0,0
281,3,3.25,0
282,2.5,4,0.272727273
283,3.5,4,0
285,3.25,3.75,0
287,2,1.5,0.727272727
289,2,3,0.090909091
291,2,0,0
292,2,3.75,0
295,2,2,0
297,2,2.75,0.727272727
298,2,0,0
299,2,0,0
300,1.75,3,0
301,3,4,0
302,2.75,4,0
304,2.25,3.25,0
305,2,0,0
306,2,3.25,0
309,2.25,3.5,0.090909091
310,3.5,3.75,0
311,2,0,0
314,2.25,3.5,0
315,3,4,0
317,2,4,0
318,3.25,4,0
321,4,4,0
323,2,0,0
324,3.25,4,0.818181818
325,2.75,3.75,0
326,2,0,0
330,2.5,3.75,0.363636364
331,2.75,3.5,0
332,2.75,3.75,0
334,2,4,0
338,1.5,4,0
339,2,3.25,0.545454545
340,3,3.75,0.090909091
343,2,0,0
344,2.25,4,0.181818182
346,2,0,0
347,2.5,2.25,0
348,2,0,0
352,2,3,0.090909091
355,2,0,0
356,2.25,2.25,0.272727273
357,2,0,0
359,2.25,3.25,0.545454545
365,2,0,0
367,2.25,2.75,0
368,2,3.5,0.090909091
369,2,0,0
373,2.5,3.75,0
376,2.5,4,0
377,3.25,3.25,0
380,3.75,3.5,0
382,3.75,4,0
386,4,4,0
388,2,3.5,0
389,2,0,0
391,3.25,3,0
394,2.75,4,0
396,2,0,0
397,2,0,0
399,2,0,0
401,1.75,3.25,0.090909091
403,3,3,0
405,2,0,0
407,2,3.25,0.181818182
408,2,0,0
409,3.25,3,0
411,2,3.25,0.181818182
413,3.5,4,0
417,3,3.75,0
421,2,0,0
423,2,0,0
424,4,4,0
425,2,3.25,0
426,1.75,3.25,0.090909091
427,3.25,4,0.181818182
429,2.75,4,0.272727273
430,2,0,0
432,2,3.75,0.454545455
435,3,2.75,0
436,1.75,3.5,0.181818182
437,4,3.5,0
440,2,3.75,0.090909091
441,3.25,1.75,0
442,2,0,0
443,3.5,3.75,0.090909091
445,3,4,0
447,2.25,2,0.090909091
449,2.5,3.5,0.454545455
450,2,0,0
453,3.5,3,0
454,3,3,0.090909091
455,2,0,0
459,2,0,0
462,2,0,0
463,2,0,0
464,2,0,0
465,2,0,0
466,2,3,0
471,2,0,0
474,2,0,0
475,2,0,0
477,2,0,0
478,2.5,3.75,0
481,2,3,0.181818182
482,2,0,0
484,2,0,0
485,2,3.5,0.545454545
487,1.75,2.75,0
492,3.25,4,0.090909091
493,2,0,0
496,3.5,3.5,0
497,3.25,3,0
499,3,4,0
501,2.75,4,0.272727273
502,2,0,0
507,2,3.25,0
508,3.75,4,0.272727273
509,2.75,3.75,0.272727273
510,2,3.25,0.363636364
511,2,3.75,0.272727273
513,1.5,3,0
514,2,0,0
515,2,3,0
517,2,0,0
520,3.75,3.75,0.090909091
522,2,3.5,0.090909091
524,2,0,0
525,4,3,0
528,3.5,3.25,0
529,2,0,0
530,2,3.5,0.090909091
532,2,0,0
533,2,0,0
534,3.75,4,0
535,2,0,0
536,2,0,0
542,2,0,0
546,2,0,0
548,3.5,4,0
551,2,0,0
555,3,4,0.181818182
557,2,3.5,0
559,4,3.25,0.363636364
561,2,0,0
562,2.75,3,0
563,2,0,0
564,2.75,3.5,0
565,3.5,3.75,0.181818182
568,2,3.75,0.363636364
572,2.75,3.5,0
573,3.5,3.25,0.090909091
575,2.5,3.75,0
576,3.25,3,0
577,3.25,4,0
578,2.75,3.75,0.181818182
579,2,0,0
580,2,3.25,0.181818182
581,2,0,0
582,2.25,3.25,0.454545455
584,3,3.25,0
585,2.5,3.25,0
586,3.5,2.75,0
587,3,3.75,0.181818182
588,1.25,2.75,0.090909091
590,2.25,2.75,0
591,3.5,3.25,0
592,3.25,3.75,0
594,2,3.5,0
599,2,0,0
602,3,3.25,0
604,2,0,0
606,2,2.5,0.454545455
609,2,0,0
610,2,0,0
612,2.5,3.25,0.454545455
614,2.25,3.75,0.272727273
616,3,3,0.181818182
617,3.5,2.5,0
618,3.5,3.75,0.090909091
620,2,0,0
622,3.5,2.5,0
624,3.75,3,0
627,2,0,0
633,3.5,3.25,0
635,3.5,3,0
636,2,3.25,0.090909091
639,2,0,0.090909091
641,2,0,0
643,3.25,4,0
644,2.25,3.25,0
646,2,0,0
647,1.75,4,0
648,3.25,4,0
652,2,0,0
653,1.5,2.25,0
654,2,0,0
655,2,3.25,0.454545455
656,2,0,0
660,2,0,0
661,3.25,3,0
664,3.75,3.75,0
666,2.5,3.5,0.090909091
668,2,3.25,0
671,2,3.25,0
673,2,3.25,0.090909091
676,2,0,0
678,3.25,3.25,0.363636364
680,3.25,4,0
683,2.25,3.75,0
684,3,3.5,0.090909091
685,2.25,4,0
686,2,0,0
687,3,3.5,0
690,3.5,3.25,0
695,2,0,0
696,2,0,0
698,2.25,2.25,0.181818182
700,4,3.75,0
701,3.5,3.5,0
703,2,0,0
707,2,0,0
708,2,0,0
712,2,3.5,0.090909091
713,3,3.75,0.090909091
714,2.25,3.25,0
715,3.5,4,0
717,2,4,0.181818182
719,3,4,0
720,3.25,3.25,0.090909091
726,2,0,0
727,2,0,0
728,3,4,0
730,2,0,0
732,2,0,0
733,3,3.75,0.454545455
738,4,3.75,0
743,3.5,3.5,0
744,2.5,3.5,0.181818182
748,2,0,0.090909091
750,2.25,3.5,0.454545455
751,1.75,3.75,0.181818182
754,2,0,0
755,2.75,3.25,0
758,2,0,0
759,3.25,2.75,0
760,1.25,3.25,0
761,3.5,3.5,0.090909091
762,3,2.25,0.090909091
763,2,0,0
766,3.25,3.25,0.727272727
772,3,4,0
775,2,0,0
776,2.5,4,0
779,2.25,3.75,0.454545455
781,2.25,2.75,0.272727273
782,2,0,0
783,2.75,4,0
790,3.25,3.75,0
791,1,3.5,0
793,2,0,0
794,2,0,0
795,4,3.25,0.090909091
797,2,0,0
800,2,0,0
801,2,0,0
